dataset,name,first_n_layers,task,acc,acc_norm,exact_match_strict,exact_match_flexible
gsm8k,first_25_layers_down_o,25,gsm8k,,,0.8605003790750568,0.866565579984837
gsm8k,first_26_layers_down_o,26,gsm8k,,,0.8726307808946171,0.8756633813495072
gsm8k,first_27_layers_down_o,27,gsm8k,,,0.8703563305534496,0.8726307808946171
gsm8k,first_28_layers_down_o,28,gsm8k,,,0.8688400303260045,0.8718726307808946
gsm8k,first_29_layers_down_o,29,gsm8k,,,0.8786959818043972,0.8817285822592873
gsm8k,first_30_layers_down_o,30,gsm8k,,,0.8764215314632298,0.8802122820318423
gsm8k,first_31_layers_down_o,31,gsm8k,,,0.8726307808946171,0.8741470811220622
gsm8k,first_32_layers_down_o,32,gsm8k,,,0.8711144806671721,0.8733889310083397
gsm8k,first_33_layers_down_o,33,gsm8k,,,0.8749052312357847,0.8786959818043972
gsm8k,first_34_layers_down_o,34,gsm8k,,,0.8779378316906747,0.8794541319181198
gsm8k,first_35_layers_down_o,35,gsm8k,,,0.8786959818043972,0.8794541319181198
gsm8k,first_36_layers_down_o,36,gsm8k,,,0.8749052312357847,0.8779378316906747
